,Hyponyms in Common
0,video
1,beam
2,Texas
3,agriculture
4,world
5,copper
6,Norfolk
7,Miller
8,Los Angeles
9,hair
10,valuation
11,consultant
12,November
13,community
14,dirt
15,sister
16,Leonardo da Vinci
17,Wisconsin
18,Louisville
19,Greek
20,innovation
21,passing
22,marriage
23,pottery
24,biology
25,precipitation
26,register
27,assignment
28,French
29,silver
30,Paris
31,Moscow
32,referee
33,global warming
34,botany
35,Mexico
36,zero
37,Maryland
38,power
39,light
40,Iceland
41,neck
42,stucco
43,house
44,Ukraine
45,successor
46,course
47,United States
48,grass
49,natural gas
50,biotechnology
51,share
52,device
53,tension
54,barley
55,Robert Frost
56,Hamlet
57,Israel
58,operation
59,New Zealand
60,parents
61,charity
62,Venus
63,poetry
64,Europe
65,Iran
66,shock
67,Kohler
68,Austin
69,Fort Meade
70,religion
71,gypsum
72,growth
73,North Carolina
74,transport
75,New Jersey
76,IBM
77,Turkey
78,wave
79,fire
80,pension
81,Cyprus
82,journalism
83,Monty Python
84,Pakistan
85,fish
86,government
87,Bell
88,cricket
89,Korea
